,ID,AWARDS
0,8772,[]
1,532565,[]
2,16856,[]
3,16715,[]
4,15989,[]
5,16166,[]
6,1151914,[]
7,515901,[]
8,17673,[]
9,1152184,[]
10,36172,[]
11,877589,[]
12,43860,[]
13,1069828,[]
14,364145,[]
15,1115022,[]
16,302685,[]
17,208655,[]
18,23977,[]
19,25019,[]
20,1050037,[]
21,868077,[]
22,779601,[]
23,307272,[]
24,303936,[]
25,307957,[]
26,24656,[]
27,1116795,[]
28,25898,[]
29,25897,[]
30,1119429,[]
31,1109328,[]
32,531950,[]
33,948667,[]
34,25407,[]
35,24684,[]
36,1174407,[]
37,308732,[]
38,303827,[]
39,572233,[]
40,23672,[]
41,318615,[]
42,1167777,[]
43,26079,[]
44,252878,[]
45,917089,[]
46,1153751,[]
47,522731,[]
48,387088,[]
49,580689,[]
50,637567,[]
51,366048,[]
52,1143535,[]
53,364193,[]
54,364641,[]
55,1140102,[]
56,1159659,[]
57,1155575,[]
58,893393,[]
59,387106,[]
60,492777,[]
61,252196,[]
62,523231,[]
63,1156255,[]
64,1156473,[]
65,1156478,[]
66,1156476,[]
67,580996,[]
68,1155636,[]
69,1107677,[]
70,1171446,[]
71,572254,[]
72,387537,[]
73,822505,[]
74,1158387,[]
75,520557,[]
76,522758,[]
77,1161803,[]
78,346592,[]
79,515887,[]
80,522226,[]
81,422293,[]
82,1161439,[]
83,352379,[]
84,1159863,[]
85,1159864,[]
86,568158,[]
87,1172646,[]
88,647707,[]
89,581614,[]
90,1063359,[]
91,585362,[]
92,515057,[]
93,1046641,[]
94,1163092,[]
95,484066,[]
96,515197,[]
97,469193,[]
98,345302,[]
99,387000,[]
100,515225,[]
101,515224,[]
102,1116762,[]
103,1082732,[]
104,470874,[]
105,526437,[]
106,1112223,[]
107,463101,[]
108,346671,[]
109,1171482,[]
110,1172030,[]
111,1171415,[]
112,1116741,[]
113,515897,[]
114,379660,[]
115,463091,[]
116,591136,[]
117,530196,[]
118,1153764,[]
119,514161,[]
120,414807,[]
121,525053,[]
122,524026,[]
123,303923,[]
124,419252,[]
125,1115050,[]
126,1013221,[]
127,1093511,[]
128,1115059,[]
129,345298,[]
130,590004,[]
131,590002,[]
132,469198,[]
133,1140117,[]
134,515196,[]
135,1163186,[]
136,420441,[]
137,515898,[]
138,779269,[]
139,779271,[]
140,346614,[]
141,586040,[]
142,585541,[]
143,319752,[]
144,307618,[]
145,1082758,[]
146,352284,[]
147,352278,[]
148,516326,[]
149,1161423,[]
150,1158375,[]
151,1163137,[]
152,1163138,[]
153,346919,[]
154,1155592,[]
155,522757,[]
156,1058996,[]
157,1059001,[]
158,436998,[]
159,1167844,[]
160,794751,[]
161,387541,[]
162,308507,[]
163,1155517,[]
164,486841,[]
165,1093651,[]
166,1063426,[]
167,1161453,[]
168,1060608,[]
169,486835,[]
170,779359,[]
171,387139,[]
172,486839,[]
173,587775,[]
174,486801,[]
175,387091,[]
176,587772,[]
177,437768,[]
178,492774,[]
179,1167753,[]
180,387141,[]
181,1063025,[]
182,1121353,[]
183,388126,[]
184,1121349,[]
185,436995,[]
186,1167752,[]
187,388132,[]
188,486834,[]
189,486838,[]
190,1121354,[]
191,1164410,[]
192,492776,[]
193,487597,[]
194,1159157,[]
195,894267,[]
196,590012,[]
197,893447,[]
198,514774,[]
199,499952,[]
200,252863,[]
201,404878,[]
202,520400,[]
203,520102,[]
204,520105,[]
205,1161417,[]
206,387096,[]
207,492687,[]
208,1156632,[]
209,1101945,[]
210,379539,[]
211,26078,[]
212,26077,[]
213,26076,[]
214,26075,[]
215,666601,[]
216,364159,[]
217,1175165,[]
218,585083,[]
219,318620,[]
220,522752,[]
221,452542,[]
222,307760,[]
223,486900,[]
224,540479,[]
225,302640,[]
226,538590,[]
227,540354,[]
228,1063437,[]
229,486902,[]
230,651219,[]
231,1063436,[]
232,1147918,[]
233,701205,[]
234,26104,[]
235,543620,[]
236,1153720,[]
237,1168317,[]
238,1058498,[]
239,1098910,[]
240,1098921,[]
241,24682,[]
242,303897,[]
243,1036433,[]
244,1114583,[]
245,1114093,[]
246,447286,[]
247,1108369,[]
248,1114269,[]
249,1120868,[]
250,1114411,[]
251,1109207,[]
252,1107380,[]
253,1106746,[]
254,1106369,[]
255,1113880,[]
256,1114112,[]
257,1109408,[]
258,1104726,[]
259,1103719,[]
260,1115488,[]
261,1113677,[]
262,1113693,[]
263,1114074,[]
264,1113834,[]
265,1120883,[]
266,1114656,[]
267,1114419,[]
268,1114396,[]
269,1114351,[]
270,1114316,[]
271,1114096,[]
272,1109335,[]
273,1106779,[]
274,1106688,[]
275,1106684,[]
276,1103877,[]
277,1109506,[]
278,1116379,[]
279,1115443,[]
280,717731,[]
281,1106622,[]
282,25547,[]
283,534731,[]
284,633508,[]
285,1103753,[]
286,1120739,[]
287,1120747,[]
288,1113617,[]
289,1116390,[]
290,1114464,[]
291,447291,[]
292,1106630,[]
293,1114366,[]
294,1120886,[]
295,1106454,[]
296,858813,[]
297,1109564,[]
298,1114381,[]
299,384525,[]
300,1113741,[]
301,943283,[]
302,1106469,[]
303,1106442,[]
304,1113833,[]
305,1113809,[]
306,1114604,[]
307,1106647,[]
308,43735,[]
309,1113749,[]
310,1106477,[]
311,1114687,[]
312,1114624,[]
313,1114287,[]
314,1106686,[]
315,1106565,[]
316,43776,[]
317,1115423,[]
318,1116247,[]
319,396261,[]
320,1120707,[]
321,1114423,[]
322,1109474,[]
323,1108311,[]
324,1106719,[]
325,913839,[]
326,1113725,[]
327,1115429,[]
328,1116357,[]
329,1114543,[]
330,1114171,[]
331,315051,[]
332,1131718,[]
333,352894,[]
334,271886,[]
335,491045,[]
336,1119433,[]
