Cricinfo_id,Teams_overview,teams_ov_telugu
639148,"['England Development Programme Under-19s', 'England Under-19s', 'Yorkshire', 'Yorkshire 2nd XI', 'Yorkshire Academy', 'Yorkshire Under-14s', 'Yorkshire Under-15s', 'Yorkshire Under-17s']","ఇంగ్లాండ్ డెవెలప్మెంట్ ప్రోగ్రామీ అండర్ -19స్, ఇంగ్లాండ్ అండర్ -19స్, యార్క్షిర్, యార్క్షైర్ 2న్ద్ క్సీ, యార్క్షిర్ అకాడమీ, యార్క్షిర్ అండర్ -14స్"
214974,"['Canterbury', 'Durham', 'Durham 2nd XI', 'Kent', 'Kent 2nd XI', 'Sussex', 'Yorkshire', 'Yorkshire 2nd XI']","కాంటర్బరీ, దుర్హం, డర్హామ్ 2న్ద్ క్సీ, కెంట్, కెంట్ 2న్ద్ క్సీ, సస్సెక్స్"
10881,"['England', 'Glamorgan']","ఇంగ్లాండ్, గ్లామర్గాన్గాన్"
10812,"['England', 'Derbyshire']","ఇంగ్లాండ్, డెర్బిషిషిర్"
566685,"['Yorkshire', 'Yorkshire 2nd XI', 'Yorkshire Academy', 'Yorkshire Under-15s', 'Yorkshire Under-17s']","యార్క్షిర్, యార్క్షైర్ 2న్ద్ క్సీ, యార్క్షిర్ అకాడమీ, యార్క్షిర్ అండర్ -15స్, యార్క్షిర్ అండర్ -17స్"
11718,"['England', 'England Lions', 'Mashonaland Eagles', 'Middlesex', 'Somerset']","ఇంగ్లాండ్, ఇంగ్లాండ్ లియన్స్, మషోనాలండ్ ఎగల్స్, మిడ్లెసెక్సెక్స్, సోమర్సెట్"
10897,"['England', 'Cambridge University', 'Worcestershire']","ఇంగ్లాండ్, కాంబ్రిడ్జ్ యూనివర్సిటీ, వొర్సెస్టర్సిటిర్"
517542,"['Durham', 'Durham 2nd XI', 'Durham Academy', 'Durham Under-17s']","దుర్హం, డర్హామ్ 2న్ద్ క్సీ, దుర్హం అకాడమీ, దుర్హం అండర్ -17స్"
10727,"['England', 'Kent']","ఇంగ్లాండ్, కెంట్"
10721,"['England', 'Essex', 'Gloucestershire']","ఇంగ్లాండ్, ఎస్సెక్స్, గ్లౌసిటర్షిటీర్"
53744,"['East Midlands Women', 'England Women']","ఇంగ్లాండ్ వోమెన్, ఈస్ట్ మిడ్లాండ్స్ వోమెన్"
11728,"['England', 'Bedfordshire', 'England Lions', 'England Under-19s', 'Essex', 'Marylebone Cricket Club']","ఇంగ్లాండ్, ఇంగ్లాండ్ లియన్స్, ఇంగ్లాండ్ అండర్ -19స్, బెద్ఫోర్డ్షర్డిర్, ఎస్సెక్స్, మర్యలేబొన్ క్రికెట్ క్లబ్"
10846,"['England', 'Gentlemen', 'Kent', 'Marylebone Cricket Club', 'Oxford University']","ఇంగ్లాండ్, జెంట్లెమెన్, కెంట్, మర్యలేబొన్ క్రికెట్ క్లబ్, ఆక్స్ఫార్డ్ యూనివర్సిటీ"
53691,"['Cheshire Women', 'England Women', 'Somerset Women', 'Western Australia Women']","ఇంగ్లాండ్ వోమెన్, చేశిరే వోమెన్, సోమర్సెట్ వోమెన్, వెస్టర్న్ ఆస్ట్రేలియా వోమెన్"
417514,"['Marylebone Cricket Club', 'Worcestershire', 'Worcestershire 2nd XI']","మర్యలేబొన్ క్రికెట్ క్లబ్, వొర్సెస్టర్సిటిర్, వోర్సెస్టర్షైర్ 2న్ద్ క్సీ"
10696,"['Gloucestershire', 'Northamptonshire']","గ్లౌసిటర్షిటీర్, నోర్తంప్టోనాంశీరే"
292304,"['Essex 2nd XI', 'Kent', 'Lancashire', 'Lancashire 2nd XI', 'Surrey', 'Unicorns']","ఎస్సెక్స్ 2న్ద్ క్సీ, కెంట్, లంచేషీర్, లాంక్షైర్ 2న్ద్ క్సీ, సుర్రీ, యూనికార్న్స్"
10718,['Glamorgan'],గ్లామర్గాన్గాన్
303813,"['Derbyshire', 'Derbyshire 2nd XI', 'Staffordshire', 'Staffordshire Under-13s', 'Staffordshire Under-14s', 'Staffordshire Under-15s', 'Staffordshire Under-17s']","డెర్బిషిషిర్, డెర్బీషైర్ 2న్ద్ క్సీ, స్టఫ్టాఫోర్డ్షిర్, స్టఫ్టాఫోర్డ్షిర్ అండర్ -13స్, స్టఫ్టాఫోర్డ్షిర్ అండర్ -14స్, స్టఫ్టాఫోర్డ్షిర్ అండర్ -15స్"
10839,"['England', 'Hampshire', 'Middlesex']","ఇంగ్లాండ్, హంపిషిర్, మిడ్లెసెక్సెక్స్"
10872,"['Lancashire', 'Middlesex Cricket Board', 'Nottinghamshire', 'Oxford University']","లంచేషీర్, మిడ్లెసెక్సెక్స్ క్రికెట్ బోర్డ్, నొట్టింగ్జాంషిర్, ఆక్స్ఫార్డ్ యూనివర్సిటీ"
53752,"['England Women', 'Middlesex Women']","ఇంగ్లాండ్ వోమెన్, మిడ్లెసెక్సెక్స్ వోమెన్"
737833,"['Glamorgan', 'Glamorgan 2nd XI', 'Wales Minor Counties']","గ్లామర్గాన్గాన్, గ్లమోర్గన్ 2న్ద్ క్సీ, వాల్స్ మైనర్ కంటీస్"
10809,"['England', 'Lincolnshire', 'Yorkshire']","ఇంగ్లాండ్, లింకాల్న్షిర్, యార్క్షిర్"
295569,"['Leicestershire', 'Leicestershire 2nd XI']","లైచేస్టర్షిర్, లీసెస్టర్షైర్ 2న్ద్ క్సీ"
10723,['Lancashire'],లంచేషీర్
998369,"['England Under-19s', 'Gloucestershire 2nd XI', 'Oxfordshire']","ఇంగ్లాండ్ అండర్ -19స్, గ్లౌసెస్టర్షైర్ 2న్ద్ క్సీ, ఆక్స్ఫోస్ఫార్సిర్"
776695,"['Derbyshire', 'Derbyshire 2nd XI', 'England Cricket Board XI']","ఇంగ్లాండ్ క్రికెట్ బోర్డ్ క్సీ, డెర్బిషిషిర్, డెర్బీషైర్ 2న్ద్ క్సీ"
10824,"['England', 'Devon', 'Hampshire', 'Northamptonshire']","ఇంగ్లాండ్, డివన్, హంపిషిర్, నోర్తంప్టోనాంశీరే"
10756,"['Nottinghamshire', 'Yorkshire']","నొట్టింగ్జాంషిర్, యార్క్షిర్"
10925,"['Canterbury', 'Northamptonshire']","కాంటర్బరీ, నోర్తంప్టోనాంశీరే"
11743,"['Brothers Union', 'Lancashire', 'Lancashire 2nd XI', 'Lancashire Cricket Board']","బ్రొచర్స్ ఉనియన్, లంచేషీర్, లాంక్షైర్ 2న్ద్ క్సీ, లంచేషీర్ క్రికెట్ బోర్డ్"
11559,"['Essex', 'Essex Cricket Board']","ఎస్సెక్స్, ఎస్సెక్స్ క్రికెట్ బోర్డ్"
11770,"['England Lions', 'England Performance Programme', 'England Under-19s', 'Essex', 'Essex 2nd XI', 'Sussex', 'Tamil Union Cricket and Athletic Club', 'Warwickshire']","ఇంగ్లాండ్ లియన్స్, ఇంగ్లాండ్ పెర్ఫర్‌ఫాన్‌మాన్స్ ప్రోగ్రామీ, ఇంగ్లాండ్ అండర్ -19స్, ఎస్సెక్స్, ఎస్సెక్స్ 2న్ద్ క్సీ, సస్సెక్స్"
10870,"['England', 'Cambridge University', 'Hampshire', 'Lancashire']","ఇంగ్లాండ్, కాంబ్రిడ్జ్ యూనివర్సిటీ, హంపిషిర్, లంచేషీర్"
11751,"['Leicestershire', 'Loughborough Marylebone Cricket Club University (England)', 'Northamptonshire']","లుగ్బరో మర్యలేబొన్ క్రికెట్ క్లబ్ యూనివర్సిటీ (ఇంగ్లాండ్), లైచేస్టర్షిర్, నోర్తంప్టోనాంశీరే"
10792,"['England', 'Gloucestershire']","ఇంగ్లాండ్, గ్లౌసిటర్షిటీర్"
297498,"['Gloucestershire', 'Gloucestershire 2nd XI', 'Lancashire 2nd XI', 'Marylebone Cricket Club Young Cricketers']","గ్లౌసిటర్షిటీర్, గ్లౌసెస్టర్షైర్ 2న్ద్ క్సీ, లాంక్షైర్ 2న్ద్ క్సీ, మర్యలేబొన్ క్రికెట్ క్లబ్ యంగ్ క్రికెటర్స్"
53747,"['England Women', 'North Women', 'Yorkshire Women']","ఇంగ్లాండ్ వోమెన్, నోర్త్ వోమెన్, యార్క్షిర్ వోమెన్"
11724,"['England', 'Derbyshire', 'Derbyshire 2nd XI', 'Marylebone Cricket Club', 'Surrey', 'Surrey 2nd XI', 'Warwickshire', 'Warwickshire 2nd XI']","ఇంగ్లాండ్, డెర్బిషిషిర్, డెర్బీషైర్ 2న్ద్ క్సీ, మర్యలేబొన్ క్రికెట్ క్లబ్, సుర్రీ, సర్రే 2న్ద్ క్సీ"
10908,['Yorkshire'],యార్క్షిర్
297630,"['Dhaka Dynamites', 'England Lions', 'Essex', 'Hampshire', 'Kent', 'Kent 2nd XI']","ఇంగ్లాండ్ లియన్స్, దాకా డైనామిట్స్, ఎస్సెక్స్, హంపిషిర్, కెంట్, కెంట్ 2న్ద్ క్సీ"
910695,"['Marylebone Cricket Club Young Cricketers', 'Northamptonshire', 'Nottinghamshire 2nd XI']","మర్యలేబొన్ క్రికెట్ క్లబ్ యంగ్ క్రికెటర్స్, నోర్తంప్టోనాంశీరే, నాటింగ్హామ్షైర్ 2న్ద్ క్సీ"
736107,['Glamorgan 2nd XI'],గ్లమోర్గన్ 2న్ద్ క్సీ
10772,"['England', 'Delhi Daredevils', 'Durham', 'Impi', 'Perth Scorchers', 'Rajasthan Royals', 'World-XI']","ఇంగ్లాండ్, ఢిల్లీ దరేదేవిల్స్, దుర్హం, ఇంపి, పేర్త్ స్కోర్చర్స్, రాజస్థన్ రోయాల్స్"
386774,"['Glamorgan', 'Glamorgan 2nd XI', 'Hampshire 2nd XI', 'Western Province']","గ్లామర్గాన్గాన్, గ్లమోర్గన్ 2న్ద్ క్సీ, హాంప్‌షైర్ 2న్ద్ క్సీ, వెస్టర్న్ ప్రోవిన్స్"
631545,"['Lincolnshire', 'Nottinghamshire', 'Nottinghamshire 2nd XI', 'Unicorns']","లింకాల్న్షిర్, నొట్టింగ్జాంషిర్, నాటింగ్హామ్షైర్ 2న్ద్ క్సీ, యూనికార్న్స్"
454668,"['Essex', 'Essex 2nd XI', 'Gloucestershire 2nd XI', 'Leeds/Bradford MCCU', 'Marylebone Cricket Club Universities', 'Northamptonshire Under-19s', 'Unicorns']","ఎస్సెక్స్, ఎస్సెక్స్ 2న్ద్ క్సీ, గ్లౌసెస్టర్షైర్ 2న్ద్ క్సీ, లీడ్స్/బ్రద్ఫోర్డ్ ఎం.సీ.సీ.యూ., మర్యలేబొన్ క్రికెట్ క్లబ్ యూనివర్సిటీసిట్స్, నోర్తంప్టోనాంశీరే అండర్ -19స్"
297441,"['Derbyshire', 'Derbyshire 2nd XI', 'Lancashire 2nd XI', 'Surrey 2nd XI']","డెర్బిషిషిర్, డెర్బీషైర్ 2న్ద్ క్సీ, లాంక్షైర్ 2న్ద్ క్సీ, సర్రే 2న్ద్ క్సీ"
1041211,"['Derbyshire', 'Derbyshire 2nd XI', 'England Under-19s', 'Nottinghamshire']","ఇంగ్లాండ్ అండర్ -19స్, డెర్బిషిషిర్, డెర్బీషైర్ 2న్ద్ క్సీ, నొట్టింగ్జాంషిర్"
10739,"['England', 'Northamptonshire']","ఇంగ్లాండ్, నోర్తంప్టోనాంశీరే"
571911,"['England Lions', 'England Under-19s', 'Karachi Kings', 'Perth Scorchers', 'Shropshire', 'Worcestershire', 'Worcestershire 2nd XI']","ఇంగ్లాండ్ లియన్స్, ఇంగ్లాండ్ అండర్ -19స్, కరాచీ కింగ్స్, పేర్త్ స్కోర్చర్స్, శ్రోప్షిరే, వొర్సెస్టర్సిటిర్"
10633,"['England', 'Somerset']","ఇంగ్లాండ్, సోమర్సెట్"
10843,"['England', 'Glamorgan', 'Kent']","ఇంగ్లాండ్, గ్లామర్గాన్గాన్, కెంట్"
10793,"['England', 'Durham', 'Eastern Province', 'Northamptonshire']","ఇంగ్లాండ్, దుర్హం, ఈస్టర్న్ ప్రోవిన్స్, నోర్తంప్టోనాంశీరే"
10643,"['England', 'Cambridge University', 'Sussex', 'Warwickshire']","ఇంగ్లాండ్, కాంబ్రిడ్జ్ యూనివర్సిటీ, సస్సెక్స్, వార్విక్షిక్షిర్"
10754,"['England', 'Somerset', 'Yorkshire']","ఇంగ్లాండ్, సోమర్సెట్, యార్క్షిర్"
215501,"['England Women', 'New South Wales Women', 'Sussex Women']","ఇంగ్లాండ్ వోమెన్, న్యూ సౌత్ వాల్స్ వోమెన్, సస్సెక్స్ వోమెన్"
567040,"['Derbyshire', 'Derbyshire 2nd XI', 'Derbyshire Under-13s', 'Derbyshire Under-14s', 'Derbyshire Under-15s', 'Derbyshire Under-17s']","డెర్బిషిషిర్, డెర్బీషైర్ 2న్ద్ క్సీ, డెర్బిషిషిర్ అండర్ -13స్, డెర్బిషిషిర్ అండర్ -14స్, డెర్బిషిషిర్ అండర్ -15స్, డెర్బిషిషిర్ అండర్ -17స్"
10656,"['England', 'England Lions', 'Hampshire', 'Kent', 'Leicestershire', 'Marylebone Cricket Club', 'Perth Scorchers', 'Surrey', 'Surrey Cricket Board']","ఇంగ్లాండ్, ఇంగ్లాండ్ లియన్స్, హంపిషిర్, కెంట్, లైచేస్టర్షిర్, మర్యలేబొన్ క్రికెట్ క్లబ్"
10797,"['England', 'Leicestershire', 'Northamptonshire']","ఇంగ్లాండ్, లైచేస్టర్షిర్, నోర్తంప్టోనాంశీరే"
10887,"['Berkshire', 'Leicestershire']","బెర్క్షిర్, లైచేస్టర్షిర్"
10795,"['New South Wales Country', 'Northamptonshire', 'Northamptonshire Cricket Board']","న్యూ సౌత్ వాల్స్ కంట్రీ, నోర్తంప్టోనాంశీరే, నోర్తంప్టోనాంశీరే క్రికెట్ బోర్డ్"
10799,"['Hong Kong Cricket Club', 'Kent', 'Middlesex']","హాంగ్ కాంగ్ క్రికెట్ క్లబ్, కెంట్, మిడ్లెసెక్సెక్స్"
10679,"['England', 'Glamorgan', 'Somerset', 'Warwickshire']","ఇంగ్లాండ్, గ్లామర్గాన్గాన్, సోమర్సెట్, వార్విక్షిక్షిర్"
10864,"['England', 'Gloucestershire']","ఇంగ్లాండ్, గ్లౌసిటర్షిటీర్"
10669,"['England', 'Kent']","ఇంగ్లాండ్, కెంట్"
11126,"['Essex', 'Loughborough Marylebone Cricket Club University (England)', 'Surrey']","లుగ్బరో మర్యలేబొన్ క్రికెట్ క్లబ్ యూనివర్సిటీ (ఇంగ్లాండ్), ఎస్సెక్స్, సుర్రీ"
660889,"['England', 'England Lions', 'England Under-19s', 'Hampshire', 'Hampshire 2nd XI', 'Hampshire Cricket Academy', 'Hampshire Under-16s', 'Hampshire Under-17s', 'Marylebone Cricket Club', 'New South Wales']","ఇంగ్లాండ్, ఇంగ్లాండ్ లియన్స్, ఇంగ్లాండ్ అండర్ -19స్, హంపిషిర్, హాంప్‌షైర్ 2న్ద్ క్సీ, హంపిషిర్ క్రికెట్ అకాడమీ"
10666,"['England', 'Nottinghamshire']","ఇంగ్లాండ్, నొట్టింగ్జాంషిర్"
1112537,"['Kent', 'Kent 2nd XI']","కెంట్, కెంట్ 2న్ద్ క్సీ"
10821,"['Derbyshire', 'Devon', 'Somerset']","డెర్బిషిషిర్, డివన్, సోమర్సెట్"
10668,"['England', 'Derbyshire', 'Oxford University']","ఇంగ్లాండ్, డెర్బిషిషిర్, ఆక్స్ఫార్డ్ యూనివర్సిటీ"
10900,"['England', 'Lancashire', 'Yorkshire']","ఇంగ్లాండ్, లంచేషీర్, యార్క్షిర్"
10850,"['England', 'Yorkshire']","ఇంగ్లాండ్, యార్క్షిర్"
10866,"['England', 'Otago', 'South Australia', 'Surrey', 'Wellington']","ఇంగ్లాండ్, ఓటాగో, సౌత్ ఆస్ట్రేలియా, సుర్రీ, వెళ్లింగ్టన్"
665053,"['England', 'Kent', 'Kent 2nd XI', 'Kent Under-13s', 'Kent Under-14s']","ఇంగ్లాండ్, కెంట్, కెంట్ 2న్ద్ క్సీ, కెంట్ అండర్ -13స్, కెంట్ అండర్ -14స్"
53693,"['England Women', 'Sussex Women']","ఇంగ్లాండ్ వోమెన్, సస్సెక్స్ వోమెన్"
297085,"['Brisbane Heat Women', 'England Academy Women', 'England Women', 'Lancashire Women', 'Sapphires']","ఇంగ్లాండ్ అకాడమీ వోమెన్, ఇంగ్లాండ్ వోమెన్, బ్రిస్బనే హెట్ వోమెన్, లంచేషీర్ వోమెన్, సప్ఫిర్స్"
10841,['Essex'],ఎస్సెక్స్
10705,"['England', 'Cambridge University', 'Kent']","ఇంగ్లాండ్, కాంబ్రిడ్జ్ యూనివర్సిటీ, కెంట్"
662973,"['England', 'Auckland', 'Chennai Super Kings', 'England Lions', 'England Young Cricketers', 'Kings XI Punjab', 'Surrey', 'Surrey 2nd XI', 'Surrey Under-15s', 'Surrey Under-17s', 'Zimbabwe Under-13s']","ఇంగ్లాండ్, ఇంగ్లాండ్ లియన్స్, ఇంగ్లాండ్ యంగ్ క్రికెటర్స్, ఆక్లాండ్, చెన్నై సూపర్ కింగ్స్, కింగ్స్ క్సీ పంజాబ్"
10816,"['England', 'Derbyshire', 'Hampshire', 'Lancashire']","ఇంగ్లాండ్, డెర్బిషిషిర్, హంపిషిర్, లంచేషీర్"
308408,"['Central Districts', 'Dhaka Gladiators', 'England Under-19s', 'Leicestershire', 'Leicestershire 2nd XI', 'Prime Doleshwar Sporting Club']","ఇంగ్లాండ్ అండర్ -19స్, సెంత్రల్ డిస్ట్రిక్ట్స్, దాకా గ్లాడియేటర్స్, లైచేస్టర్షిర్, లీసెస్టర్షైర్ 2న్ద్ క్సీ, ప్రైమ్ డొలేశ్వర్ స్పోర్టింగ్ క్లబ్"
10893,"['Gloucestershire', 'Leicestershire', 'Oxfordshire']","గ్లౌసిటర్షిటీర్, లైచేస్టర్షిర్, ఆక్స్ఫోస్ఫార్సిర్"
11745,"['Auckland', 'Lancashire', 'Lancashire Cricket Board', 'Northern Districts']","ఆక్లాండ్, లంచేషీర్, లంచేషీర్ క్రికెట్ బోర్డ్, నార్తర్న్ డిస్ట్రిక్ట్స్"
210281,"['England Lions', 'Essex', 'Essex 2nd XI', 'Warwickshire']","ఇంగ్లాండ్ లియన్స్, ఎస్సెక్స్, ఎస్సెక్స్ 2న్ద్ క్సీ, వార్విక్షిక్షిర్"
297595,"['Derbyshire', 'Essex', 'Essex 2nd XI', 'Lincolnshire', 'Northamptonshire', 'Nottinghamshire', 'Nottinghamshire 2nd XI']","డెర్బిషిషిర్, ఎస్సెక్స్, ఎస్సెక్స్ 2న్ద్ క్సీ, లింకాల్న్షిర్, నోర్తంప్టోనాంశీరే, నొట్టింగ్జాంషిర్"
10862,"['England', 'Lancashire']","ఇంగ్లాండ్, లంచేషీర్"
10777,"['England', 'Europeans (India)', 'Holkar', 'Middlesex']","ఇంగ్లాండ్, యురోపీన్స్ (ఇండియా), హాల్కర్, మిడ్లెసెక్సెక్స్"
301648,"['Cumberland', 'England Under-15s', 'Lancashire', 'Lancashire 2nd XI', 'Surrey', 'Surrey 2nd XI']","ఇంగ్లాండ్ అండర్ -15స్, కంబర్లాండ్, లంచేషీర్, లాంక్షైర్ 2న్ద్ క్సీ, సుర్రీ, సర్రే 2న్ద్ క్సీ"
550235,"['England', 'Delhi Capitals', 'England Lions', 'Kerala Knights', 'Kolkata Knight Riders', 'KwaZulu-Natal Inland Under-19s', 'KwaZulu-Natal Under-19s', 'Rajasthan Royals', 'Surrey', 'Surrey 2nd XI', 'Sydney Sixers', 'Sylhet Sixers', 'Team Moeen', 'Tshwane Spartans']","ఇంగ్లాండ్, ఇంగ్లాండ్ లియన్స్, ఢిల్లీ కాపిటల్స్, కేరళ కైగ్ట్స్, కోల్కట కైట్ రైడర్స్, క్వాజులు-నటల్ ఇన్లాండ్ అండర్ -19స్"
10820,['Glamorgan'],గ్లామర్గాన్గాన్
470501,"['Durham', 'Durham 2nd XI', 'Durham Academy', 'Durham Under-17s', 'England Under-17s', 'Marylebone Cricket Club Young Cricketers']","ఇంగ్లాండ్ అండర్ -17స్, దుర్హం, డర్హామ్ 2న్ద్ క్సీ, దుర్హం అకాడమీ, దుర్హం అండర్ -17స్, మర్యలేబొన్ క్రికెట్ క్లబ్ యంగ్ క్రికెటర్స్"
865833,"['Leicestershire', 'Leicestershire 2nd XI']","లైచేస్టర్షిర్, లీసెస్టర్షైర్ 2న్ద్ క్సీ"
10763,"['England', 'Worcestershire']","ఇంగ్లాండ్, వొర్సెస్టర్సిటిర్"
246119,"['Leeds Bradford UCCE', 'Marylebone Cricket Club', 'Warwickshire', 'Warwickshire 2nd XI', 'Worcestershire']","లీడ్స్ బ్రద్ఫోర్డ్ యూ.సీ.సీ.ఇ., మర్యలేబొన్ క్రికెట్ క్లబ్, వార్విక్షిక్షిర్, వార్విక్షైర్ 2న్ద్ క్సీ, వొర్సెస్టర్సిటిర్"
53754,"['East Women', 'England Women', 'Kent Women', 'West Midlands Women']","ఇంగ్లాండ్ వోమెన్, ఈస్ట్ వోమెన్, కెంట్ వోమెన్, వెస్ట్ మిడ్లాండ్స్ వోమెన్"
422592,"['Cardiff MCCU', 'Kent', 'Kent 2nd XI']","కార్డిఫ్ ఎం.సీ.సీ.యూ., కెంట్, కెంట్ 2న్ద్ క్సీ"
